accountNumber,agentId,name,macAddress,family,ipAddress,gateway,netMask,timestamp
185946404262,o-3j4ftzagcxdyxro8j,ens192,00:50:56:01:1A:C4,Ipv4,192.168.92.66,0.0.0.0,255.255.255.0,2018-06-02 01:34:47
185946404262,o-3j4ftzagcxdyxro8j,virbr0,52:54:00:A6:C1:21,Ipv4,192.168.122.1,0.0.0.0,255.255.255.0,2018-06-02 01:34:47
185946404262,o-3j4ftzagcxdyxro8j,ens192,00:50:56:01:1A:C4,Ipv4,192.168.92.66,0.0.0.0,255.255.255.0,2018-06-02 01:51:06
185946404262,o-3j4ftzagcxdyxro8j,virbr0,52:54:00:A6:C1:21,Ipv4,192.168.122.1,0.0.0.0,255.255.255.0,2018-06-02 01:51:06
185946404262,o-3j4ftzagcxdyxro8j,ens192,00:50:56:01:1A:C4,Ipv4,192.168.92.66,0.0.0.0,255.255.255.0,2018-06-02 02:43:18
185946404262,o-3j4ftzagcxdyxro8j,virbr0,52:54:00:A6:C1:21,Ipv4,192.168.122.1,0.0.0.0,255.255.255.0,2018-06-02 02:43:18
185946404262,o-3j4ftzagcxdyxro8j,ens192,00:50:56:01:1A:C4,Ipv4,192.168.92.66,0.0.0.0,255.255.255.0,2018-06-02 02:25:55
185946404262,o-3j4ftzagcxdyxro8j,virbr0,52:54:00:A6:C1:21,Ipv4,192.168.122.1,0.0.0.0,255.255.255.0,2018-06-02 02:25:55
185946404262,o-3j4ftzagcxdyxro8j,ens192,00:50:56:01:1A:C4,Ipv4,192.168.92.66,0.0.0.0,255.255.255.0,2018-06-02 02:25:55
185946404262,o-3j4ftzagcxdyxro8j,virbr0,52:54:00:A6:C1:21,Ipv4,192.168.122.1,0.0.0.0,255.255.255.0,2018-06-02 02:25:55
185946404262,o-3j4ftzagcxdyxro8j,ens192,00:50:56:01:1A:C4,Ipv4,192.168.92.66,0.0.0.0,255.255.255.0,2018-06-02 02:08:28
185946404262,o-3j4ftzagcxdyxro8j,virbr0,52:54:00:A6:C1:21,Ipv4,192.168.122.1,0.0.0.0,255.255.255.0,2018-06-02 02:08:28
185946404262,o-3j4ftzagcxdyxro8j,ens192,00:50:56:01:1A:C4,Ipv4,192.168.92.66,0.0.0.0,255.255.255.0,2018-06-02 03:33:40
185946404262,o-3j4ftzagcxdyxro8j,virbr0,52:54:00:A6:C1:21,Ipv4,192.168.122.1,0.0.0.0,255.255.255.0,2018-06-02 03:33:40
185946404262,o-3j4ftzagcxdyxro8j,ens192,00:50:56:01:1A:C4,Ipv4,192.168.92.66,0.0.0.0,255.255.255.0,2018-06-02 03:17:11
185946404262,o-3j4ftzagcxdyxro8j,virbr0,52:54:00:A6:C1:21,Ipv4,192.168.122.1,0.0.0.0,255.255.255.0,2018-06-02 03:17:11
185946404262,o-3j4ftzagcxdyxro8j,ens192,00:50:56:01:1A:C4,Ipv4,192.168.92.66,0.0.0.0,255.255.255.0,2018-06-02 03:48:59
185946404262,o-3j4ftzagcxdyxro8j,virbr0,52:54:00:A6:C1:21,Ipv4,192.168.122.1,0.0.0.0,255.255.255.0,2018-06-02 03:48:59
185946404262,o-3j4ftzagcxdyxro8j,ens192,00:50:56:01:1A:C4,Ipv4,192.168.92.66,0.0.0.0,255.255.255.0,2018-06-02 03:00:42
185946404262,o-3j4ftzagcxdyxro8j,virbr0,52:54:00:A6:C1:21,Ipv4,192.168.122.1,0.0.0.0,255.255.255.0,2018-06-02 03:00:42
185946404262,o-3j4ftzagcxdyxro8j,ens192,00:50:56:01:1A:C4,Ipv4,192.168.92.66,0.0.0.0,255.255.255.0,2018-06-02 04:05:21
185946404262,o-3j4ftzagcxdyxro8j,virbr0,52:54:00:A6:C1:21,Ipv4,192.168.122.1,0.0.0.0,255.255.255.0,2018-06-02 04:05:21
185946404262,o-3j4ftzagcxdyxro8j,ens192,00:50:56:01:1A:C4,Ipv4,192.168.92.66,0.0.0.0,255.255.255.0,2018-06-02 04:22:47
185946404262,o-3j4ftzagcxdyxro8j,virbr0,52:54:00:A6:C1:21,Ipv4,192.168.122.1,0.0.0.0,255.255.255.0,2018-06-02 04:22:47
185946404262,o-3j4ftzagcxdyxro8j,ens192,00:50:56:01:1A:C4,Ipv4,192.168.92.66,0.0.0.0,255.255.255.0,2018-06-02 04:40:09
185946404262,o-3j4ftzagcxdyxro8j,virbr0,52:54:00:A6:C1:21,Ipv4,192.168.122.1,0.0.0.0,255.255.255.0,2018-06-02 04:40:09
185946404262,o-3j4ftzagcxdyxro8j,ens192,00:50:56:01:1A:C4,Ipv4,192.168.92.66,0.0.0.0,255.255.255.0,2018-06-02 04:40:09
185946404262,o-3j4ftzagcxdyxro8j,virbr0,52:54:00:A6:C1:21,Ipv4,192.168.122.1,0.0.0.0,255.255.255.0,2018-06-02 04:40:09
185946404262,o-3j4ftzagcxdyxro8j,ens192,00:50:56:01:1A:C4,Ipv4,192.168.92.66,0.0.0.0,255.255.255.0,2018-06-02 04:57:33
185946404262,o-3j4ftzagcxdyxro8j,virbr0,52:54:00:A6:C1:21,Ipv4,192.168.122.1,0.0.0.0,255.255.255.0,2018-06-02 04:57:33
185946404262,o-3j4ftzagcxdyxro8j,ens192,00:50:56:01:1A:C4,Ipv4,192.168.92.66,0.0.0.0,255.255.255.0,2018-06-02 05:14:52
185946404262,o-3j4ftzagcxdyxro8j,virbr0,52:54:00:A6:C1:21,Ipv4,192.168.122.1,0.0.0.0,255.255.255.0,2018-06-02 05:14:52
185946404262,o-3j4ftzagcxdyxro8j,ens192,00:50:56:01:1A:C4,Ipv4,192.168.92.66,0.0.0.0,255.255.255.0,2018-06-02 05:39:58
185946404262,o-3j4ftzagcxdyxro8j,virbr0,52:54:00:A6:C1:21,Ipv4,192.168.122.1,0.0.0.0,255.255.255.0,2018-06-02 05:39:58
185946404262,o-3j4ftzagcxdyxro8j,ens192,00:50:56:01:1A:C4,Ipv4,192.168.92.66,0.0.0.0,255.255.255.0,2018-06-02 05:39:58
185946404262,o-3j4ftzagcxdyxro8j,virbr0,52:54:00:A6:C1:21,Ipv4,192.168.122.1,0.0.0.0,255.255.255.0,2018-06-02 05:39:58
185946404262,o-3j4ftzagcxdyxro8j,ens192,00:50:56:01:1A:C4,Ipv4,192.168.92.66,0.0.0.0,255.255.255.0,2018-06-02 05:57:18
185946404262,o-3j4ftzagcxdyxro8j,virbr0,52:54:00:A6:C1:21,Ipv4,192.168.122.1,0.0.0.0,255.255.255.0,2018-06-02 05:57:18
