accountNumber,agentId,name,macAddress,family,ipAddress,gateway,netMask,timestamp
185946404262,o-17vbev18sdyslf98g,eth0,00:50:56:01:12:CA,Ipv4,192.168.92.20,0.0.0.0,255.255.255.0,2018-06-08 01:27:46
185946404262,o-17vbev18sdyslf98g,eth0:0,00:50:56:01:12:CA,Ipv4,192.168.92.120,0.0.0.0,255.255.255.0,2018-06-08 01:27:46
185946404262,o-17vbev18sdyslf98g,eth0:1,00:50:56:01:12:CA,Ipv4,192.168.92.121,0.0.0.0,255.255.255.0,2018-06-08 01:27:46
185946404262,o-17vbev18sdyslf98g,eth0:2,00:50:56:01:12:CA,Ipv4,192.168.92.122,0.0.0.0,255.255.255.0,2018-06-08 01:27:46
185946404262,o-17vbev18sdyslf98g,eth0:3,00:50:56:01:12:CA,Ipv4,192.168.92.123,0.0.0.0,255.255.255.0,2018-06-08 01:27:46
185946404262,o-17vbev18sdyslf98g,eth0:4,00:50:56:01:12:CA,Ipv4,192.168.92.124,0.0.0.0,255.255.255.0,2018-06-08 01:27:46
185946404262,o-17vbev18sdyslf98g,eth0:5,00:50:56:01:12:CA,Ipv4,192.168.92.125,0.0.0.0,255.255.255.0,2018-06-08 01:27:46
185946404262,o-17vbev18sdyslf98g,eth0:6,00:50:56:01:12:CA,Ipv4,192.168.92.126,0.0.0.0,255.255.255.0,2018-06-08 01:27:46
185946404262,o-17vbev18sdyslf98g,eth0:7,00:50:56:01:12:CA,Ipv4,192.168.92.127,0.0.0.0,255.255.255.0,2018-06-08 01:27:46
185946404262,o-17vbev18sdyslf98g,eth0,00:50:56:01:12:CA,Ipv4,192.168.92.20,0.0.0.0,255.255.255.0,2018-06-08 01:47:07
185946404262,o-17vbev18sdyslf98g,eth0:0,00:50:56:01:12:CA,Ipv4,192.168.92.120,0.0.0.0,255.255.255.0,2018-06-08 01:47:07
185946404262,o-17vbev18sdyslf98g,eth0:1,00:50:56:01:12:CA,Ipv4,192.168.92.121,0.0.0.0,255.255.255.0,2018-06-08 01:47:07
185946404262,o-17vbev18sdyslf98g,eth0:2,00:50:56:01:12:CA,Ipv4,192.168.92.122,0.0.0.0,255.255.255.0,2018-06-08 01:47:07
185946404262,o-17vbev18sdyslf98g,eth0:3,00:50:56:01:12:CA,Ipv4,192.168.92.123,0.0.0.0,255.255.255.0,2018-06-08 01:47:07
185946404262,o-17vbev18sdyslf98g,eth0:4,00:50:56:01:12:CA,Ipv4,192.168.92.124,0.0.0.0,255.255.255.0,2018-06-08 01:47:07
