accountNumber,agentId,name,macAddress,family,ipAddress,gateway,netMask,timestamp
185946404262,o-5psvqgqbxgdts8rv8,eth0,00:50:56:01:17:2A,Ipv4,192.168.92.62,0.0.0.0,255.255.255.0,2018-06-05 01:34:03
185946404262,o-5psvqgqbxgdts8rv8,eth0,00:50:56:01:17:2A,Ipv4,192.168.92.62,0.0.0.0,255.255.255.0,2018-06-05 01:34:03
185946404262,o-5psvqgqbxgdts8rv8,eth0,00:50:56:01:17:2A,Ipv4,192.168.92.62,0.0.0.0,255.255.255.0,2018-06-05 01:16:57
185946404262,o-5psvqgqbxgdts8rv8,eth0,00:50:56:01:17:2A,Ipv4,192.168.92.62,0.0.0.0,255.255.255.0,2018-06-05 02:47:06
185946404262,o-5psvqgqbxgdts8rv8,eth0,00:50:56:01:17:2A,Ipv4,192.168.92.62,0.0.0.0,255.255.255.0,2018-06-05 02:21:18
185946404262,o-5psvqgqbxgdts8rv8,eth0,00:50:56:01:17:2A,Ipv4,192.168.92.62,0.0.0.0,255.255.255.0,2018-06-05 02:03:05
185946404262,o-5psvqgqbxgdts8rv8,eth0,00:50:56:01:17:2A,Ipv4,192.168.92.62,0.0.0.0,255.255.255.0,2018-06-05 02:03:05
185946404262,o-5psvqgqbxgdts8rv8,eth0,00:50:56:01:17:2A,Ipv4,192.168.92.62,0.0.0.0,255.255.255.0,2018-06-05 03:28:44
185946404262,o-5psvqgqbxgdts8rv8,eth0,00:50:56:01:17:2A,Ipv4,192.168.92.62,0.0.0.0,255.255.255.0,2018-06-05 03:48:10
185946404262,o-5psvqgqbxgdts8rv8,eth0,00:50:56:01:17:2A,Ipv4,192.168.92.62,0.0.0.0,255.255.255.0,2018-06-05 03:48:10
185946404262,o-5psvqgqbxgdts8rv8,eth0,00:50:56:01:17:2A,Ipv4,192.168.92.62,0.0.0.0,255.255.255.0,2018-06-05 03:04:12
185946404262,o-5psvqgqbxgdts8rv8,eth0,00:50:56:01:17:2A,Ipv4,192.168.92.62,0.0.0.0,255.255.255.0,2018-06-05 03:04:12
185946404262,o-5psvqgqbxgdts8rv8,eth0,00:50:56:01:17:2A,Ipv4,192.168.92.62,0.0.0.0,255.255.255.0,2018-06-05 04:33:13
185946404262,o-5psvqgqbxgdts8rv8,eth0,00:50:56:01:17:2A,Ipv4,192.168.92.62,0.0.0.0,255.255.255.0,2018-06-05 04:33:13
185946404262,o-5psvqgqbxgdts8rv8,eth0,00:50:56:01:17:2A,Ipv4,192.168.92.62,0.0.0.0,255.255.255.0,2018-06-05 04:59:43
185946404262,o-5psvqgqbxgdts8rv8,eth0,00:50:56:01:17:2A,Ipv4,192.168.92.62,0.0.0.0,255.255.255.0,2018-06-05 04:17:06
185946404262,o-5psvqgqbxgdts8rv8,eth0,00:50:56:01:17:2A,Ipv4,192.168.92.62,0.0.0.0,255.255.255.0,2018-06-05 05:33:01
185946404262,o-5psvqgqbxgdts8rv8,eth0,00:50:56:01:17:2A,Ipv4,192.168.92.62,0.0.0.0,255.255.255.0,2018-06-05 05:33:01
185946404262,o-5psvqgqbxgdts8rv8,eth0,00:50:56:01:17:2A,Ipv4,192.168.92.62,0.0.0.0,255.255.255.0,2018-06-05 05:15:54
185946404262,o-5psvqgqbxgdts8rv8,eth0,00:50:56:01:17:2A,Ipv4,192.168.92.62,0.0.0.0,255.255.255.0,2018-06-05 06:01:49
185946404262,o-5psvqgqbxgdts8rv8,eth0,00:50:56:01:17:2A,Ipv4,192.168.92.62,0.0.0.0,255.255.255.0,2018-06-05 06:45:51
185946404262,o-5psvqgqbxgdts8rv8,eth0,00:50:56:01:17:2A,Ipv4,192.168.92.62,0.0.0.0,255.255.255.0,2018-06-05 06:17:56
185946404262,o-5psvqgqbxgdts8rv8,eth0,00:50:56:01:17:2A,Ipv4,192.168.92.62,0.0.0.0,255.255.255.0,2018-06-05 06:17:56
185946404262,o-5psvqgqbxgdts8rv8,eth0,00:50:56:01:17:2A,Ipv4,192.168.92.62,0.0.0.0,255.255.255.0,2018-06-05 07:49:00
185946404262,o-5psvqgqbxgdts8rv8,eth0,00:50:56:01:17:2A,Ipv4,192.168.92.62,0.0.0.0,255.255.255.0,2018-06-05 07:49:00
185946404262,o-5psvqgqbxgdts8rv8,eth0,00:50:56:01:17:2A,Ipv4,192.168.92.62,0.0.0.0,255.255.255.0,2018-06-05 07:02:59
185946404262,o-5psvqgqbxgdts8rv8,eth0,00:50:56:01:17:2A,Ipv4,192.168.92.62,0.0.0.0,255.255.255.0,2018-06-05 07:02:59
185946404262,o-5psvqgqbxgdts8rv8,eth0,00:50:56:01:17:2A,Ipv4,192.168.92.62,0.0.0.0,255.255.255.0,2018-06-05 07:21:06
185946404262,o-5psvqgqbxgdts8rv8,eth0,00:50:56:01:17:2A,Ipv4,192.168.92.62,0.0.0.0,255.255.255.0,2018-06-05 08:47:57
185946404262,o-5psvqgqbxgdts8rv8,eth0,00:50:56:01:17:2A,Ipv4,192.168.92.62,0.0.0.0,255.255.255.0,2018-06-05 08:47:57
185946404262,o-5psvqgqbxgdts8rv8,eth0,00:50:56:01:17:2A,Ipv4,192.168.92.62,0.0.0.0,255.255.255.0,2018-06-05 08:17:54
