accountNumber,agentId,name,macAddress,family,ipAddress,gateway,netMask,timestamp
185946404262,o-3owubnjzljdsg8l42,ens160,00:50:56:01:1A:A0,Ipv4,192.168.92.63,0.0.0.0,255.255.255.0,2018-06-08 01:08:15
185946404262,o-3owubnjzljdsg8l42,ens160,00:50:56:01:1A:A0,Ipv4,192.168.92.63,0.0.0.0,255.255.255.0,2018-06-08 01:24:30
185946404262,o-3owubnjzljdsg8l42,ens160,00:50:56:01:1A:A0,Ipv4,192.168.92.63,0.0.0.0,255.255.255.0,2018-06-08 01:59:10
185946404262,o-3owubnjzljdsg8l42,ens160,00:50:56:01:1A:A0,Ipv4,192.168.92.63,0.0.0.0,255.255.255.0,2018-06-08 01:40:46
185946404262,o-3owubnjzljdsg8l42,ens160,00:50:56:01:1A:A0,Ipv4,192.168.92.63,0.0.0.0,255.255.255.0,2018-06-08 02:14:20
185946404262,o-3owubnjzljdsg8l42,ens160,00:50:56:01:1A:A0,Ipv4,192.168.92.63,0.0.0.0,255.255.255.0,2018-06-08 02:32:56
185946404262,o-3owubnjzljdsg8l42,ens160,00:50:56:01:1A:A0,Ipv4,192.168.92.63,0.0.0.0,255.255.255.0,2018-06-08 02:32:56
185946404262,o-3owubnjzljdsg8l42,ens160,00:50:56:01:1A:A0,Ipv4,192.168.92.63,0.0.0.0,255.255.255.0,2018-06-08 02:50:17
185946404262,o-3owubnjzljdsg8l42,ens160,00:50:56:01:1A:A0,Ipv4,192.168.92.63,0.0.0.0,255.255.255.0,2018-06-08 03:24:49
185946404262,o-3owubnjzljdsg8l42,ens160,00:50:56:01:1A:A0,Ipv4,192.168.92.63,0.0.0.0,255.255.255.0,2018-06-08 03:07:32
185946404262,o-3owubnjzljdsg8l42,ens160,00:50:56:01:1A:A0,Ipv4,192.168.92.63,0.0.0.0,255.255.255.0,2018-06-08 03:42:16
185946404262,o-3owubnjzljdsg8l42,ens160,00:50:56:01:1A:A0,Ipv4,192.168.92.63,0.0.0.0,255.255.255.0,2018-06-08 03:57:23
185946404262,o-3owubnjzljdsg8l42,ens160,00:50:56:01:1A:A0,Ipv4,192.168.92.63,0.0.0.0,255.255.255.0,2018-06-08 04:13:37
185946404262,o-3owubnjzljdsg8l42,ens160,00:50:56:01:1A:A0,Ipv4,192.168.92.63,0.0.0.0,255.255.255.0,2018-06-08 04:29:57
185946404262,o-3owubnjzljdsg8l42,ens160,00:50:56:01:1A:A0,Ipv4,192.168.92.63,0.0.0.0,255.255.255.0,2018-06-08 04:44:05
185946404262,o-3owubnjzljdsg8l42,ens160,00:50:56:01:1A:A0,Ipv4,192.168.92.63,0.0.0.0,255.255.255.0,2018-06-08 05:34:59
185946404262,o-3owubnjzljdsg8l42,ens160,00:50:56:01:1A:A0,Ipv4,192.168.92.63,0.0.0.0,255.255.255.0,2018-06-08 05:01:21
185946404262,o-3owubnjzljdsg8l42,ens160,00:50:56:01:1A:A0,Ipv4,192.168.92.63,0.0.0.0,255.255.255.0,2018-06-08 05:01:21
185946404262,o-3owubnjzljdsg8l42,ens160,00:50:56:01:1A:A0,Ipv4,192.168.92.63,0.0.0.0,255.255.255.0,2018-06-08 05:52:19
185946404262,o-3owubnjzljdsg8l42,ens160,00:50:56:01:1A:A0,Ipv4,192.168.92.63,0.0.0.0,255.255.255.0,2018-06-08 05:17:41
185946404262,o-3owubnjzljdsg8l42,ens160,00:50:56:01:1A:A0,Ipv4,192.168.92.63,0.0.0.0,255.255.255.0,2018-06-08 06:46:17
185946404262,o-3owubnjzljdsg8l42,ens160,00:50:56:01:1A:A0,Ipv4,192.168.92.63,0.0.0.0,255.255.255.0,2018-06-08 06:46:17
185946404262,o-3owubnjzljdsg8l42,ens160,00:50:56:01:1A:A0,Ipv4,192.168.92.63,0.0.0.0,255.255.255.0,2018-06-08 06:10:37
185946404262,o-3owubnjzljdsg8l42,ens160,00:50:56:01:1A:A0,Ipv4,192.168.92.63,0.0.0.0,255.255.255.0,2018-06-08 06:28:57
